Group 1 ,x,xerr,center x,y,yerr,center y,time,R sun,latitude,lat err,longitude,long err,day,Time (s),Time (day),day
13,,,5.13E+02,,,5.12E+02,17:35:30,4.97E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,16,1353600,15.66666667,
,,,,,,,,,,,,,,,,
group 7,x,xerr,center x,y,yerr,center y,time,R sun,latitude,lat err,longitude,long err,day,Time (s),Time (day),day
1,,,5.12E+02,,,5.12E+02,01:35:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,1,0,0,86400
2,,,5.13E+02,,,5.12E+02,06:23:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,2,103680,1.2,
3,,,5.13E+02,,,5.12E+02,20:43:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,3,241680,2.797222222,
4,,,5.13E+02,,,5.12E+02,11:11:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,5,380160,4.4,
5,,,5.13E+02,,,5.12E+02,20:27:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,6,499920,5.786111111,
6,,,5.13E+02,,,5.12E+02,23:59:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,7,599040,6.933333333,
7,,,5.13E+02,,,5.12E+02,06:23:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,9,708480,8.2,
8,,,5.13E+02,,,5.12E+02,11:11:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,10,812160,9.4,
9,,,5.13E+02,,,5.12E+02,19:11:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,11,927360,10.73333333,
10,129,5,5.13E+02,493,8,5.12E+02,23:59:30,4.97E+02,-0.038803256,0.016227181,-0.882112752,0.03875969,12,1031040,11.93333333,
11,236,7,5.13E+02,503,8,5.12E+02,06:23:30,4.97E+02,-0.018696435,0.015904573,-0.590102118,0.029661017,14,1140480,13.2,
12,358,7,5.13E+02,509,8,5.12E+02,11:11:30,4.97E+02,-0.006594119,0.015717092,-0.31656756,0.019553073,15,1244160,14.4,
13,501,7,5.13E+02,513,8,5.12E+02,17:35:30,4.97E+02,0.001451624,0.015594542,-0.024310058,0.013972056,16,1353600,15.66666667,
,,,,,,,,,,,,,,,,
Group 8,x,xerr,center x,y,yerr,center y,time,R sun,latitude,lat err,longitude,long err,day,Time (s),Time (day),day
1,741.5,7.7862,5.12E+02,646.5,6.0467,5.12E+02,01:35:30,4.98E+02,0.273326243,0.009352978,0.478253234,0.010500607,1,0,0,86400
2,857,5.00625,5.13E+02,640.5,10.55045,5.12E+02,06:23:30,4.98E+02,0.260819061,0.016472209,0.764189617,0.005841599,2,103680,1.2,
3,958.5,5.04495,5.13E+02,631.5,8.3104,5.12E+02,20:43:30,4.98E+02,0.242171262,0.013159778,1.109278914,0.00526338,3,241680,2.797222222,
4,,,5.13E+02,,,5.12E+02,11:11:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,5,380160,4.4,
5,,,5.13E+02,,,5.12E+02,20:27:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,6,499920,5.786111111,
6,,,5.13E+02,,,5.12E+02,23:59:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,7,599040,6.933333333,
7,,,5.13E+02,,,5.12E+02,06:23:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,9,708480,8.2,
8,,,5.13E+02,,,5.12E+02,11:11:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,10,812160,9.4,
9,,,5.13E+02,,,5.12E+02,19:11:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,11,927360,10.73333333,
10,,,5.13E+02,,,5.12E+02,23:59:30,4.97E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,12,1031040,11.93333333,
11,,,5.13E+02,,,5.12E+02,06:23:30,4.97E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,14,1140480,13.2,
12,,,5.13E+02,,,5.12E+02,11:11:30,4.97E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,15,1244160,14.4,
13,,,5.13E+02,,,5.12E+02,17:35:30,4.97E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,16,1353600,15.66666667,
